,Date,Price,Open,High,Low,Vol.,Change %,realbody,range,bullish_pinbar,bearish_three-line_strike,bullish_pinbar_success,bearish_three-line_strike_success
60,"Mar 02, 2021",48424.2,49595.6,50191.9,47100.6,102.10K,-2.36%,1171.4000000000015,3091.300000000003,False,False,,
61,"Mar 03, 2021",50395.1,48422.2,52567.9,48159.2,44.93K,4.07%,-1972.9000000000015,4408.700000000004,False,False,,
62,"Mar 04, 2021",48428.0,50388.0,51757.7,47521.8,9.56K,-3.90%,1960.0,4235.899999999994,False,False,,
63,"Mar 05, 2021",48792.5,48363.6,49429.4,46370.1,113.64K,0.75%,-428.90000000000146,3059.300000000003,False,False,,
64,"Mar 06, 2021",48855.6,48798.7,49191.8,47132.8,66.66K,0.13%,-56.900000000001455,2059.0,False,False,,
65,"Mar 07, 2021",50982.3,48899.0,51434.1,48890.6,82.91K,4.35%,-2083.300000000003,2543.5,False,False,,
66,"Mar 08, 2021",52311.0,50988.9,52384.9,49338.1,68.14K,2.61%,-1322.0999999999985,3046.800000000003,False,False,,
67,"Mar 09, 2021",54879.0,52352.4,54880.6,51941.3,114.06K,4.91%,-2526.5999999999985,2939.2999999999956,False,False,,
68,"Mar 10, 2021",55851.9,54882.7,57328.7,53073.6,140.96K,1.77%,-969.2000000000044,4255.0999999999985,False,False,,
69,"Mar 11, 2021",57799.5,55851.2,58135.0,54351.8,129.63K,3.49%,-1948.300000000003,3783.199999999997,False,False,,
70,"Mar 12, 2021",57265.1,57806.2,58052.3,55134.5,116.96K,-0.92%,541.0999999999985,2917.800000000003,False,False,,
71,"Mar 13, 2021",61195.3,57267.4,61795.8,56118.8,134.64K,6.86%,-3927.9000000000015,5677.0,False,False,,
72,"Mar 14, 2021",59113.7,61192.7,61673.7,59113.7,80.29K,-3.40%,2079.0,2560.0,False,False,,
73,"Mar 15, 2021",55791.3,59117.4,60565.9,55088.8,117.71K,-5.62%,3326.0999999999985,5477.0999999999985,False,False,,
74,"Mar 16, 2021",56889.7,55619.5,56889.7,53342.6,128.51K,1.97%,-1270.199999999997,3547.0999999999985,False,True,,True
75,"Mar 17, 2021",58913.5,56892.9,58933.2,54253.2,118.26K,3.56%,-2020.5999999999985,4680.0,False,False,,
76,"Mar 18, 2021",57656.0,58911.8,60088.0,57099.6,102.62K,-2.13%,1255.800000000003,2988.4000000000015,False,False,,
77,"Mar 19, 2021",58088.0,57645.0,59448.3,56305.1,83.98K,0.75%,-443.0,3143.2000000000044,False,False,,
78,"Mar 20, 2021",58093.4,58084.1,59882.1,57863.0,67.83K,0.01%,-9.30000000000291,2019.0999999999985,False,False,,
79,"Mar 21, 2021",57383.8,58097.4,58583.8,55583.3,77.47K,-1.22%,713.5999999999985,3000.5,False,False,,
